fid;name;latitude;longitude;gebied;domeinen;website;koepels;initiatief_type;location_type
204; The Orange Tree Garden;51.909798;4.504745;Kop van Zuid;Groen;https://www.cbkrotterdam.nl/en/agenda/the-orange-tree-garden-in-time-2021/;;plek;point
205;Rotterdamse Munt;51.90855556;4.505805556;Kop van Zuid;Groen;www.rotterdamsemunt.nl;;plek;point
206;Hof aan de Hef;51.914;4.496166667;Noordereiland;Groen;;;plek;point
207;De Tuinen van Tante Nino;51.91418319;4.496820419;Noordereiland;Groen;https://www.tantenino.org/about;;plek;point
208;Ons Park;51.91486111;4.49725;Noordereiland;Groen;https://rotterdamseparken.nl/site/parken/ons-park/;;plek;point
209;Oeverloos;51.88086111;4.550416667;Feijeroord;Groen;https://tussentuin.nl/tuinen/oeverloos;;plek;point
210;Witte Paard Eetbare tuin;51.88553;4.51161;Vreewijk;Groen;www.hetwittepaardrotterdam.nl;;plek;point
211;Tuinen Keurings Commissie Vreewijk - stichting;51.88542;4.51161;Vreewijk;Groen;https://www.facebook.com/groups/831639797396172/ en https://www.rijnmond.nl/nieuws/1849109/tuinkeuring-vreewijk-stopt-na-100-jaar-zelfs-in-de-oorlog-ging-het-door;;plek;point
212;Drrroomland Buurt- en Nutstuinencomplex;51.96061111;4.514472222;Hilligersberg Noord;Groen;http://drrroomland.nl;;plek;point
213;CSA Tuinderij de Stadsboerin;51.968383;4.470014;Schiebroek;Groen;https://stadsboerinrotterdam.nl/;;plek;point
214;Natuurtalent (Talentfabriek010);51.96838889;4.471;Schiebroek;Groen;https://www.facebook.com/natuurtalent010;;plek;point
215;Voorplanters Rotterdam;51.96811373;4.469844991;Schiebroek;Groen;https://www.instagram.com/voorplantersrotterdam/;;plek;point
216;Gedenkbos Schiebroekse Park;51.96839126;4.467937209;Schiebroek;Groen;3053 JV;;plek;point
217;Tuimeltuin;51.96916667;4.474333333;Schiebroek;Groen;http://www.vtvlusthof.nl/component/tags/tag/6-kantine;;plek;point
218;Landje aan de Rotte;51.94455556;4.486888889;Terbregge;Groen;https://www.facebook.com/landjeaanderotte;;plek;point
